Section,Subsection,Field,Type,Option,Price,Price_large,Pricing,Applicable,Feature,Build Type,Duplicate,Quantity,Image URL
Windows,Windows,2' x 3' Vinyl DOUBLE HUNG Window with screen & grids,select,2' x 3' Vinyl DOUBLE HUNG Window with screen & grids - White,,270,each,large,,,,,
Windows,Windows,2' x 3' Vinyl DOUBLE HUNG Window with screen & grids,select,2' x 3' Vinyl DOUBLE HUNG Window with screen & grids - Almond,,305,each,large,,,,,
Windows,Windows,2' x 3' Vinyl DOUBLE HUNG Window with screen & grids,select,2' x 3' Vinyl DOUBLE HUNG Window with screen & grids - Clay,,305,each,large,,,,,
Windows,Windows,2' x 4' Vinyl DOUBLE HUNG Window with screen & grids,select,2' x 4' Vinyl DOUBLE HUNG Window with screen & grids - White,,340,each,large,,,,,
Windows,Windows,2' x 4' Vinyl DOUBLE HUNG Window with screen & grids,select,2' x 4' Vinyl DOUBLE HUNG Window with screen & grids - Almond,,375,each,large,,,,,
Windows,Windows,2' x 4' Vinyl DOUBLE HUNG Window with screen & grids,select,2' x 4' Vinyl DOUBLE HUNG Window with screen & grids - Clay,,375,each,large,,,,,
Windows,Windows,3' x 4' Vinyl DOUBLE HUNG Window with screen & grids,select,3' x 4' Vinyl DOUBLE HUNG Window with screen & grids - White,,390,each,large,,,,,
Windows,Windows,3' x 4' Vinyl DOUBLE HUNG Window with screen & grids,select,3' x 4' Vinyl DOUBLE HUNG Window with screen & grids - Almond,,425,each,large,,,,,
Windows,Windows,3' x 4' Vinyl DOUBLE HUNG Window with screen & grids,select,3' x 4' Vinyl DOUBLE HUNG Window with screen & grids - Clay,,425,each,large,,,,,
Windows,Skylight,2' x 2' Bubble Skylight,numeric,,95,,each,small,,,,,skylight.png
Windows,Skylight,2' x 2' Skylight - installed in metal roof,numeric,,190,,each,small,,,,,skylight.png
Windows,Skylight,2' x4' Insulated Skylight,numeric,,,565,each,large,,,,,
Windows,Skylight,2' x4' Insulated Skylight - installed in metal roof,numeric,,,665,each,large,,,,,
Windows,Window Add-ons,6-lite Wooden Window,select,6-lite Wooden Window – Arched,120,130,each,"small, large",,,,,
Windows,Window Add-ons,6-lite Wooden Window,select,6-lite Wooden Window – Square,120,130,each,"small, large",,,,,
Windows,Window Add-ons,Transom Windows,select,Transom Windows - White,65,65,each,"small, large",,,,,
Windows,Window Add-ons,Transom Windows,select,Transom Windows - Brown,65,65,each,"small, large",,,,,
Windows,Window Add-ons,Octagon Window,select,Octagon Window - White,60,65,each,"small, large",,,,,
Windows,Window Add-ons,Octagon Window,select,Octagon Window - Brown,60,54,each,"small, large",,,,,
Windows,Window Accessories,Cedar Shutter Set,numeric,,45,,each,"small, large",,,,,shutters.png
Windows,Window Accessories,Cedar Flowerbox,numeric,,45,,each,"small, large",,,,,flowerbox.png
Windows,Window Accessories,Cedar Shutter Set & Flowerbox,numeric,,90,,each,"small, large",,,,,
Windows,Window Accessories,Vinyl Shutter Set Panel Style,numeric,,60,55,each,"small, large",,,,,shutters.png
Windows,Window Accessories,Vinyl Flowerbox,numeric,,50,,each,"small, large",,,,,flowerbox.png
Windows,Window Accessories,Vinyl Shutter Set & Flowerbox,numeric,,110,100,each,"small, large",,,,,
