"Style","Width","Length","Feature","SQ FT","Post Amount","Pitch","Beam Height","Color - Option","Pine Staining - Option","Duratemp Staining - Option","Duratemp Painting - Option","Pine Painting - Option","Z1 Prebuilt","Z1 AOS","Z2 Prebuilt","Z2 AOS","Z3 Prebuilt","Z3 AOS","Z4 Prebuilt","Z4 AOS","Z5 Prebuilt","Z5 AOS","Z6 Prebuilt","Z6 AOS","Z7 Prebuilt","Z7 AOS","Z1 Duracolumn","Z2 Duracolumn","Z3 Duracolumn","Z4 Duracolumn","Z5 Duracolumn","Z6 Duracolumn","Z7 Duracolumn"
"Timber Ridge",14,32,"Solid Cedar",448,6,10,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$17,804 ","N/A","$18,474 ","N/A","$18,965 ","N/A","$19,175 ","N/A","$19,385 ","N/A","$19,595 ","N/A","$19,805 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
"Timber Ridge",16,16,"Solid Pine",256,4,10,8,"$2,185 ","$2,185 ","$2,185 ","$2,185 ","$2,185 ","N/A","$7,998 ","N/A","$8,313 ","N/A","$8,549 ","N/A","$8,658 ","N/A","$8,767 ","N/A","$8,876 ","N/A","$8,985 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",16,16,"Solid Cedar",256,4,10,8,"$2,185 ","$2,185 ","$2,185 ","$2,185 ","$2,185 ","N/A","$11,996 ","N/A","$12,470 ","N/A","$12,823 ","N/A","$12,987 ","N/A","$13,151 ","N/A","$13,314 ","N/A","$13,478 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",16,20,"Solid Pine",320,6,10,8,"$1,970 ","$1,970 ","$1,970 ","$1,970 ","$1,970 ","N/A","$9,350 ","N/A","$9,732 ","N/A","$10,020 ","N/A","$10,159 ","N/A","$10,299 ","N/A","$10,439 ","N/A","$10,579 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",16,20,"Solid Cedar",320,6,10,8,"$1,970 ","$1,970 ","$1,970 ","$1,970 ","$1,970 ","N/A","$14,025 ","N/A","$14,597 ","N/A","$15,029 ","N/A","$15,239 ","N/A","$15,449 ","N/A","$15,659 ","N/A","$15,869 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",16,24,"Solid Pine",384,6,10,8,"$2,005 ","$2,005 ","$2,005 ","$2,005 ","$2,005 ","N/A","$10,755 ","N/A","$11,203 ","N/A","$11,544 ","N/A","$11,715 ","N/A","$11,886 ","N/A","$12,056 ","N/A","$12,227 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",16,24,"Solid Cedar",384,6,10,8,"$2,005 ","$2,005 ","$2,005 ","$2,005 ","$2,005 ","N/A","$16,132 ","N/A","$16,804 ","N/A","$17,316 ","N/A","$17,572 ","N/A","$17,828 ","N/A","$18,084 ","N/A","$18,340 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",16,28,"Solid Pine",448,6,10,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$12,434 ","N/A","$12,956 ","N/A","$13,355 ","N/A","$13,557 ","N/A","$13,758 ","N/A","$13,959 ","N/A","$14,161 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Timber Ridge",16,28,"Solid Cedar",448,6,10,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$18,651 ","N/A","$19,435 ","N/A","$20,033 ","N/A","$20,335 ","N/A","$20,637 ","N/A","$20,939 ","N/A","$21,241 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Timber Ridge",16,32,"Solid Pine",512,6,10,8,"$2,167 ","$2,167 ","$2,167 ","$2,167 ","$2,167 ","N/A","$14,111 ","N/A","$14,707 ","N/A","$15,163 ","N/A","$15,395 ","N/A","$15,627 ","N/A","$15,860 ","N/A","$16,092 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
